Date,Close,Market_Close,lag_1,lag_2,lag_3,market_lag_1,market_lag_2,market_lag_3
2024-02-15,200.4499969482422,5029.72998046875,188.7100067138672,184.02000427246094,188.1300048828125,5000.6201171875,4953.169921875,5021.83984375
2024-02-16,199.9499969482422,5005.56982421875,200.4499969482422,188.7100067138672,184.02000427246094,5029.72998046875,5000.6201171875,4953.169921875
2024-02-20,193.75999450683594,4975.509765625,199.9499969482422,200.4499969482422,188.7100067138672,5005.56982421875,5029.72998046875,5000.6201171875
2024-02-21,194.77000427246094,4981.7998046875,193.75999450683594,199.9499969482422,200.4499969482422,4975.509765625,5005.56982421875,5029.72998046875
2024-02-22,197.41000366210938,5087.02978515625,194.77000427246094,193.75999450683594,199.9499969482422,4981.7998046875,4975.509765625,5005.56982421875
2024-02-23,191.97000122070312,5088.7998046875,197.41000366210938,194.77000427246094,193.75999450683594,5087.02978515625,4981.7998046875,4975.509765625
2024-02-26,199.39999389648438,5069.52978515625,191.97000122070312,197.41000366210938,194.77000427246094,5088.7998046875,5087.02978515625,4981.7998046875
2024-02-27,199.72999572753906,5078.18017578125,199.39999389648438,191.97000122070312,197.41000366210938,5069.52978515625,5088.7998046875,5087.02978515625
2024-02-28,202.0399932861328,5069.759765625,199.72999572753906,199.39999389648438,191.97000122070312,5078.18017578125,5069.52978515625,5088.7998046875
2024-02-29,201.8800048828125,5096.27001953125,202.0399932861328,199.72999572753906,199.39999389648438,5069.759765625,5078.18017578125,5069.52978515625
2024-03-01,202.63999938964844,5137.080078125,201.8800048828125,202.0399932861328,199.72999572753906,5096.27001953125,5069.759765625,5078.18017578125
2024-03-04,188.13999938964844,5130.9501953125,202.63999938964844,201.8800048828125,202.0399932861328,5137.080078125,5096.27001953125,5069.759765625
2024-03-05,180.74000549316406,5078.64990234375,188.13999938964844,202.63999938964844,201.8800048828125,5130.9501953125,5137.080078125,5096.27001953125
2024-03-06,176.5399932861328,5104.759765625,180.74000549316406,188.13999938964844,202.63999938964844,5078.64990234375,5130.9501953125,5137.080078125
2024-03-07,178.64999389648438,5157.35986328125,176.5399932861328,180.74000549316406,188.13999938964844,5104.759765625,5078.64990234375,5130.9501953125
2024-03-08,175.33999633789062,5123.68994140625,178.64999389648438,176.5399932861328,180.74000549316406,5157.35986328125,5104.759765625,5078.64990234375
2024-03-11,177.77000427246094,5117.93994140625,175.33999633789062,178.64999389648438,176.5399932861328,5123.68994140625,5157.35986328125,5104.759765625
2024-03-12,177.5399932861328,5175.27001953125,177.77000427246094,175.33999633789062,178.64999389648438,5117.93994140625,5123.68994140625,5157.35986328125
2024-03-13,169.47999572753906,5165.31005859375,177.5399932861328,177.77000427246094,175.33999633789062,5175.27001953125,5117.93994140625,5123.68994140625
